Player Name,Team,Position,Games,Goals,Assists,Points,+/-,Penalty Minutes,Shots,Game Winning Goals,PP Goals,PP Assists,SH Goals,SH Assists,Hits,Blocked Shots
Maksymilian Szuber,UTA,D,1,0,0,0,-1,2,1,0,0,0,0,0,2,1
Aku Raty,UTA,RW,1,0,1,1,0,0,0,0,0,0,0,0,2,0
Ondrej Pavel,COL,RW,2,0,0,0,-1,2,3,0,0,0,0,0,1,0
Cole McWard,VAN,D,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Jack St. Ivany,PIT,D,14,0,1,1,0,2,11,0,0,0,0,0,30,14
Cameron Butler,CBJ,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Crozier,TBL,D,13,0,2,2,-2,7,13,0,0,0,0,0,16,11
Akito Hirose,VAN,D,3,0,0,0,1,0,0,0,0,0,0,0,3,5
Fraser Minten,TOR,C,4,0,0,0,0,2,3,0,0,0,0,0,4,1
Logan Morrison,SEA,C,4,0,0,0,-1,0,6,0,0,0,0,0,2,8
Lane Hutson,MTL,D,2,0,2,2,-2,0,3,0,0,0,0,0,1,0
Brad Lambert,WPG,C,1,0,1,1,1,0,2,0,0,0,0,0,0,1
Jiri Kulich,BUF,C,1,0,0,0,-1,0,1,0,0,0,0,0,1,0
Graeme Clarke,MIN,RW,3,0,0,0,-2,2,2,0,0,0,0,0,6,0
Vasily Podkolzin,EDM,RW,19,0,2,2,-4,8,20,0,0,0,0,0,71,3
Philip Broberg,STL,D,12,0,2,2,-3,0,6,0,0,1,0,0,4,10
Victor Soderstrom,UTA,D,3,0,0,0,-1,0,1,0,0,0,0,0,3,6
Tobias Bjornfot,FLA,D,4,0,0,0,-2,2,1,0,0,0,0,0,4,7
Adam Beckman,NJD,LW,11,0,2,2,-2,12,10,0,0,0,0,0,13,3
Ronnie Attard,EDM,D,12,0,2,2,1,6,14,0,0,0,0,0,22,14
Marc Del Gaizo,NSH,D,9,0,3,3,2,2,8,0,0,0,0,0,20,10
Hugh McGing,STL,LW,5,0,0,0,-5,0,4,0,0,0,0,0,7,3
Kirby Dach,MTL,C,2,0,2,2,2,0,3,0,0,0,0,0,3,0
Rhett Gardner,PHI,C,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Samuel Walker,MIN,RW,4,0,0,0,-3,0,3,0,0,0,0,0,2,1
Grant Hutton,NYI,D,2,0,0,0,1,0,0,0,0,0,0,0,4,1
Joe Snively,DET,LW,3,0,0,0,-1,0,0,0,0,0,0,0,1,0
Ryan Johnson,BUF,D,41,0,7,7,3,12,35,0,0,0,0,0,8,39
Nikita Alexandrov,STL,C,23,0,2,2,-4,4,15,0,0,0,0,0,29,7
Samuel Poulin,PIT,RW,3,0,0,0,-1,2,2,0,0,0,0,0,5,3
Raphael Lavoie,VGK,C,7,0,0,0,-2,2,4,0,0,0,0,0,13,1
Egor Afanasyev,FA,LW,2,0,0,0,-1,0,5,0,0,0,0,0,6,2
Liam Foudy,NYI,C,13,0,3,3,-2,2,7,0,0,0,0,0,8,4
Linus Karlsson,VAN,C,4,0,0,0,0,0,4,0,0,0,0,0,3,2
Jan Jenik,OTT,C,5,0,1,1,-1,5,2,0,0,0,0,0,6,7
Scott Perunovich,STL,D,54,0,17,17,1,12,36,0,0,6,0,0,29,53
Ilya Lyubushkin,DAL,D,74,0,8,8,-11,57,47,0,0,0,0,0,175,168
Ruslan Iskhakov,NYI,RW,1,0,1,1,0,0,2,0,0,1,0,0,0,0
Mackenzie MacEachern,STL,LW,8,0,1,1,-1,0,4,0,0,0,0,0,10,2
Rasmus Kupari,WPG,C,28,0,1,1,-5,4,28,0,0,0,0,0,24,10
Grigori Denisenko,VGK,LW,6,0,0,0,-3,2,5,0,0,0,0,0,14,2
Benoit-Olivier Groulx,NYR,C,45,0,2,2,-9,22,32,0,0,0,0,0,101,30
Alex Steeves,TOR,LW,1,0,0,0,-1,0,1,0,0,0,0,0,6,0
Brennan Othmann,NYR,LW,3,0,0,0,0,0,6,0,0,0,0,0,6,1
Oskar Olausson,COL,LW,1,0,0,0,0,0,2,0,0,0,0,0,2,2
Scott Morrow,CAR,D,2,0,0,0,-3,0,6,0,0,0,0,0,1,2
Mackie Samoskevich,FLA,C,7,0,0,0,-3,0,11,0,0,0,0,0,5,3
Zach Dean,STL,C,9,0,0,0,-4,6,10,0,0,0,0,0,10,5
Isak Rosen,BUF,LW,7,0,0,0,-3,0,8,0,0,0,0,0,0,2
Logan Mailloux,MTL,D,1,0,1,1,1,0,2,0,0,0,0,0,1,1
Jackson Blake,CAR,RW,1,0,0,0,-2,0,2,0,0,0,0,0,0,0
Ethan Del Mastro,CHI,D,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Lukas Rousek,BUF,LW,15,0,2,2,-1,0,4,0,0,0,0,0,5,7
Jacob Peterson,FA,LW,6,0,0,0,-3,2,3,0,0,0,0,0,6,5
Adam Raska,MIN,LW,5,0,0,0,0,0,0,0,0,0,0,0,12,1
Santeri Hatakka,NJD,D,12,0,2,2,5,4,12,0,0,0,0,0,14,12
Callahan Burke,VGK,C,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Arshdeep Bains,VAN,LW,8,0,0,0,-5,6,4,0,0,0,0,0,7,2
Declan Carlile,TBL,D,1,0,0,0,1,0,0,0,0,0,0,0,1,2
Brandon Scanlin,NYR,D,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Brian Halonen,NJD,LW,2,0,0,0,0,0,2,0,0,0,0,0,2,0
Lucas Condotta,MTL,LW,3,0,0,0,1,0,2,0,0,0,0,0,5,1
Zack Ostapchuk,OTT,C,7,0,0,0,-1,0,5,0,0,0,0,0,13,6
Vincent Iorio,WSH,D,6,0,0,0,1,0,6,0,0,0,0,0,3,3
Louis Crevier,CHI,D,24,0,3,3,-16,4,18,0,0,0,0,0,30,50
Ryan Winterton,SEA,C,9,0,0,0,-1,0,10,0,0,0,0,0,10,4
Cutter Gauthier,ANA,LW,1,0,1,1,1,0,3,0,0,0,0,0,0,0
Matthew Savoie,EDM,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Roos,OTT,D,4,0,0,0,-4,0,2,0,0,0,0,0,8,2
Pavol Regenda,ANA,LW,5,0,0,0,-1,2,7,0,0,0,0,0,11,5
Georgi Merkulov,BOS,LW,4,0,0,0,1,0,3,0,0,0,0,0,2,4
Milos Kelemen,UTA,LW,10,0,1,1,-2,0,5,0,0,0,0,0,20,3
Mikael Pyyhtia,CBJ,LW,17,0,2,2,-5,0,22,0,0,0,0,0,9,20
Jack Thompson,SJS,D,3,0,0,0,-2,0,4,0,0,0,0,0,4,3
Philip Kemp,EDM,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage Goncalves,TBL,C,2,0,0,0,0,6,0,0,0,0,0,0,2,0
Wyatt Kaiser,CHI,D,32,0,7,7,0,22,18,0,0,0,0,0,22,46
Cole Koepke,BOS,LW,9,0,2,2,0,0,9,0,0,0,0,0,23,1
Tyler Angle,FA,LW,2,0,0,0,-1,0,0,0,0,0,0,0,5,1
Isaak Phillips,CHI,D,33,0,6,6,-26,22,31,0,0,0,0,0,56,36
Maxence Guenette,OTT,D,7,0,0,0,-1,2,6,0,0,0,0,0,6,6
Ilya Solovyov,CGY,D,10,0,3,3,-3,4,10,0,0,0,0,1,14,17
Justin Sourdif,FLA,C,3,0,0,0,0,0,2,0,0,0,0,0,5,2
Emil Heineman,MTL,LW,4,0,0,0,2,0,0,0,0,0,0,0,6,1
Roby Jarventie,EDM,LW,7,0,1,1,-5,4,5,0,0,0,0,0,5,6
Yan Kuznetsov,CGY,D,1,0,0,0,-1,0,2,0,0,0,0,0,0,1
Daemon Hunt,CBJ,D,12,0,1,1,-1,0,7,0,0,0,0,0,8,17
Emil Andrae,PHI,D,4,0,0,0,-1,0,0,0,0,0,0,0,5,6
Shakir Mukhamadullin,SJS,D,3,0,1,1,0,4,5,0,0,1,0,0,5,11
Tyler Kleven,OTT,D,9,0,1,1,-1,2,7,0,0,0,0,0,8,9
Lukas Cormier,VGK,D,2,0,1,1,1,0,3,0,0,1,0,0,1,2
Cole Schwindt,VGK,RW,4,0,0,0,-1,2,1,0,0,0,0,0,5,1
Nikolai Knyzhov,FA,D,10,0,1,1,-6,6,6,0,0,0,0,0,13,17
Connor Mackey,NYR,D,1,0,0,0,1,5,1,0,0,0,0,0,1,3
Mavrik Bourque,DAL,C,1,0,0,0,0,0,2,0,0,0,0,0,1,0
Jake Christiansen,CBJ,D,12,0,2,2,-5,2,7,0,0,0,0,0,10,15
